id,type,latitude_deg,longitude_deg,elevation_ft,municipality,gps_code,iata_code
321432,small_airport,42.035333,-0.746295,1116,Gurrea de Gállego,,
309917,small_airport,42.5923,-4.2902,2958,Herrera de Pisuerga,,
321793,small_airport,39.2264442,-4.8863799,1394,Herrera del Duque,,
320474,small_airport,41.10826667,-2.9859667,4101,Hiendelaencina,,
43237,small_airport,42.0228,0.482222,2450,Huesca,LENA,
43247,small_airport,41.60779953,-0.218327001,1424,Huesca,LECJ,
321083,closed,37.386693,-6.250106,69,Huevar,,
43244,heliport,38.92910004,1.466330051,278,Ibiza Island,LECC,
43266,heliport,38.91749954,1.419440031,91,Ibiza Island,LENM,
321222,small_airport,37.242111,-7.317649,144,Isla Cristina,,
321509,small_airport,37.908577,-3.800161,1034,Jaen,,
315437,small_airport,39.329167,-6.343611,1350,La Cervera,,
321526,small_airport,39.110988,-2.008452,2270,La Gineta,,
43297,heliport,28.09720039,-17.10239983,1,La Gomera Island,GCGO,
320762,small_airport,39.770897,-3.604716,2097,La Guardia,,
321577,small_airport,42.632037,-3.311456,2297,La Vid de Bureba,,
320643,small_airport,39.909035,-0.948624,3675,La Yesa,,
321584,small_airport,40.186112,-4.946256,1329,Lanzahita,,
321440,small_airport,36.896138,-6.0393716,131,Lebrija,,
43280,small_airport,38.133211,-3.642554,1033,Linares,LELI,
321131,small_airport,42.011798,3.089483,,Llabiá,,
321438,small_airport,37.1377455,-4.2698489,,Loja,,
43311,small_airport,43.55250168,-7.087779999,80,Lugo,LEVF,
320777,small_airport,42.66565,-1.3023833,1575,Lumbier,,
43251,heliport,40.44929886,-3.646130562,2336,Madrid,LEDG,
43267,heliport,40.37473628,-3.699852526,1970,Madrid,LEDO,
43306,heliport,40.44982914,-3.693144321,2340,Madrid,LETS,
299646,heliport,40.41791317,-3.694919944,,Madrid,,
43282,small_airport,42.13439941,-3.731029987,3030,Madrigalejo Del Monte,LEJO,
316061,small_airport,37.3297,-5.722783,150,Mairena del Alcor,,
43270,heliport,41.72000122,1.840559959,962,Manresa,LEHM,
43284,small_airport,41.76530075,1.861670017,897,Manresa,LEMS,
43288,heliport,41.56079865,2.429719925,638,Mataró,LENH,
320141,small_airport,42.953642,-3.473773,,Medina de Pomar,,
43240,heliport,39.99750137,3.813329935,27,Menorca Island,LENB,
321418,small_airport,38.817024,-0.833138,1837,Mogente / Moixent,,
